source,benchmark,attack,f,aip_gated,aip_naive,aip_soft,aip_trust_only,confidence,ds_full,ds_onecoin,majority,oracle_channel,oracle_honest_majority,race,race_capself,race_full,race_ms,race_noclone,race_onecoin,race_rawclone,sac,self
live,boolq,llm:rushing,0.5,0.6158333333333333,0.6158333333333333,0.6191666666666666,0.6158333333333333,0.6708333333333334,0.6541666666666667,0.5541666666666667,0.6708333333333334,0.7416666666666667,0.6208333333333333,0.7058333333333334,0.7058333333333334,0.7058333333333334,0.7058333333333334,0.6224999999999999,0.5191666666666667,0.7058333333333334,0.6783333333333333,0.6008333333333333
live,boolq,llm:rushing,0.7,0.5638888888888889,0.5638888888888889,0.6069444444444444,0.5638888888888889,0.6166666666666666,0.5416666666666666,0.5708333333333333,0.6,0.7000000000000001,0.6416666666666667,0.6722222222222222,0.6722222222222222,0.6722222222222222,0.6722222222222222,0.6291666666666667,0.5388888888888889,0.6722222222222222,0.5875,0.6194444444444444
live,boolq,llm:solo,0.1,0.687962962962963,0.687962962962963,0.6912037037037037,0.687962962962963,0.7217592592592593,0.7708333333333334,0.7583333333333333,0.6791666666666667,0.7666666666666666,0.6666666666666666,0.725,0.725,0.725,0.725,0.7546296296296297,0.7032407407407407,0.725,0.6851851851851851,0.6175925925925926
live,boolq,llm:solo,0.3,0.7244047619047619,0.7244047619047619,0.706547619047619,0.7244047619047619,0.7714285714285714,0.7458333333333332,0.6875,0.7041666666666666,0.75,0.6333333333333333,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7529761904761906,0.6077380952380952,0.7083333333333334,0.706547619047619,0.6202380952380953
live,boolq,llm:solo,0.5,0.715,0.715,0.6675,0.715,0.7591666666666667,0.6541666666666667,0.6583333333333333,0.725,0.7625000000000001,0.6208333333333333,0.7041666666666666,0.7041666666666666,0.7041666666666666,0.7041666666666666,0.6216666666666667,0.5591666666666667,0.7050000000000001,0.7266666666666667,0.6008333333333333
live,boolq,llm:solo,0.7,0.6444444444444445,0.6444444444444445,0.6291666666666667,0.6444444444444445,0.7027777777777778,0.6583333333333333,0.5541666666666667,0.7291666666666666,0.7416666666666667,0.6416666666666667,0.6749999999999999,0.6749999999999999,0.6749999999999999,0.6749999999999999,0.6569444444444444,0.5624999999999999,0.6777777777777777,0.6986111111111111,0.6194444444444444
live,mmlu,coherent,0.1,0.4291666666666667,0.2212962962962963,0.4342592592592593,0.4291666666666667,0.41064814814814815,0.4666666666666666,0.4916666666666667,0.46249999999999997,0.6041666666666666,0.5166666666666667,0.5527777777777778,0.549074074074074,0.43333333333333335,0.5527777777777778,0.4537037037037037,0.5527777777777778,0.5527777777777778,0.41712962962962963,0.4217592592592592
live,mmlu,coherent,0.3,0.36904761904761907,0.24166666666666667,0.3654761904761905,0.225,0.26666666666666666,0.32916666666666666,0.4041666666666666,0.3541666666666667,0.6,0.4880952380952381,0.5595238095238095,0.5571428571428572,0.44166666666666665,0.5595238095238095,0.44345238095238093,0.5595238095238095,0.5595238095238095,0.22738095238095238,0.4255952380952381
live,mmlu,coherent,0.5,0.3358333333333334,0.27666666666666667,0.33749999999999997,0.0,0.09166666666666667,0.0,0.0,0.08333333333333333,0.6041666666666666,0.48583333333333334,0.5641666666666666,0.5466666666666666,0.4566666666666667,0.5641666666666666,0.47833333333333333,0.5641666666666666,0.5641666666666666,0.02333333333333333,0.43416666666666665
live,mmlu,coherent,0.7,0.4291666666666667,0.4472222222222222,0.4291666666666667,0.0,0.0,0.0,0.0,0.0,0.5666666666666667,0.4513888888888889,0.5069444444444444,0.5069444444444444,0.4611111111111111,0.5069444444444444,0.5208333333333334,0.5069444444444444,0.5069444444444444,0.0,0.4375
live,mmlu,llm:collude,0.1,0.5041666666666667,0.2199074074074074,0.5041666666666667,0.5041666666666667,0.4342592592592593,0.49583333333333335,0.48750000000000004,0.5125000000000001,0.5458333333333333,0.5166666666666667,0.5319444444444444,0.4976851851851852,0.4708333333333334,0.5319444444444444,0.4532407407407408,0.5319444444444444,0.5319444444444444,0.44027777777777777,0.4217592592592592
live,mmlu,llm:collude,0.3,0.4988095238095238,0.18452380952380953,0.4988095238095238,0.4988095238095238,0.48928571428571427,0.45416666666666666,0.4375,0.46249999999999997,0.5499999999999999,0.4880952380952381,0.5619047619047619,0.5291666666666667,0.49107142857142855,0.5619047619047619,0.43273809523809526,0.5619047619047619,0.5619047619047619,0.4863095238095238,0.4255952380952381
live,mmlu,llm:collude,0.5,0.4375,0.20083333333333334,0.4375,0.4375,0.4725,0.4375,0.4375,0.47500000000000003,0.5708333333333333,0.48583333333333334,0.5525,0.5391666666666667,0.47583333333333333,0.5525,0.42916666666666664,0.5525,0.5525,0.46416666666666667,0.43416666666666665
live,mmlu,llm:collude,0.7,0.4375,0.24444444444444444,0.4375,0.4375,0.4375,0.4375,0.4375,0.4375,0.5166666666666667,0.4513888888888889,0.5097222222222222,0.4986111111111111,0.46527777777777773,0.5097222222222222,0.4375,0.5097222222222222,0.5097222222222222,0.4375,0.4375
live,mmlu,llm:rushing,0.1,0.4847222222222222,0.20694444444444446,0.4847222222222222,0.4847222222222222,0.4444444444444444,0.4583333333333333,0.46666666666666673,0.49583333333333335,0.5291666666666667,0.5166666666666667,0.5430555555555555,0.512962962962963,0.4148148148148148,0.5430555555555555,0.4481481481481482,0.5430555555555555,0.5430555555555555,0.4291666666666667,0.4217592592592592
