benchmark,attack,f,baseline,target,target_acc,baseline_acc,delta,ci_low,ci_high,p,n_tasks,p_holm,verdict
mmlu,coherent,0.3,aip_gated,race,0.5595238095238094,0.36904761904761907,0.19047619047619047,0.1065327380952381,0.2732142857142857,0.0004152477204356352,48,0.042355267484434786,win
mmlu,coherent,0.3,ds_onecoin,race,0.5595238095238094,0.40416666666666673,0.15535714285714286,0.07796130952380953,0.2303720238095237,0.0021362594502981366,48,0.20294464777832297,tie
mmlu,coherent,0.5,self,race,0.5641666666666666,0.43416666666666676,0.12999999999999998,0.07333333333333332,0.18835416666666654,0.00027193150403195126,48,0.02828087641932293,win
mmlu,coherent,0.5,majority,race,0.5641666666666666,0.08333333333333333,0.4808333333333334,0.3633333333333333,0.5924999999999999,5.091401978177343e-08,48,5.906026294685718e-06,win
mmlu,coherent,0.5,aip_gated,race,0.5641666666666666,0.3358333333333334,0.22833333333333336,0.15747916666666667,0.2958749999999998,3.2870388677701047e-06,48,0.0003747224309257919,win
mmlu,coherent,0.5,ds_onecoin,race,0.5641666666666666,0.0,0.5641666666666666,0.43916666666666665,0.6808541666666668,2.1653270315523107e-08,48,2.5550858972317265e-06,win
mmlu,coherent,0.7,self,race,0.5069444444444444,0.4375,0.06944444444444443,0.02777777777777778,0.1125,0.008077267254536533,48,0.6784904493810688,tie
mmlu,coherent,0.7,majority,race,0.5069444444444444,0.0,0.5069444444444444,0.3972222222222223,0.6180902777777775,1.79492818296257e-08,48,2.17186310138471e-06,win
mmlu,coherent,0.7,aip_gated,race,0.5069444444444444,0.4291666666666667,0.07777777777777777,0.026388888888888875,0.12777777777777777,0.017972192732097665,48,1.0,tie
mmlu,coherent,0.7,ds_onecoin,race,0.5069444444444444,0.0,0.5069444444444444,0.39444444444444443,0.6194791666666665,1.79492818296257e-08,48,2.17186310138471e-06,win
mmlu,llm:collude,0.1,self,race,0.5319444444444444,0.42175925925925933,0.11018518518518516,0.02915509259259259,0.18796296296296297,0.01220814382375048,48,0.940027074428787,tie
mmlu,llm:collude,0.1,majority,race,0.5319444444444444,0.5125000000000001,0.01944444444444444,-0.03287037037037038,0.07179398148148128,0.7372664240673739,48,1.0,tie
mmlu,llm:collude,0.1,aip_gated,race,0.5319444444444444,0.5041666666666668,0.027777777777777773,-0.039814814814814824,0.09538194444444438,0.45544272405612174,48,1.0,tie
mmlu,llm:collude,0.1,ds_onecoin,race,0.5319444444444444,0.4875,0.04444444444444443,-0.042592592592592605,0.14214120370370364,0.40141249677952084,48,1.0,tie
mmlu,llm:collude,0.3,self,race,0.5619047619047618,0.42559523809523814,0.1363095238095238,0.061309523809523814,0.21193452380952366,0.0026754904334009297,48,0.25149610073968737,tie
mmlu,llm:collude,0.3,majority,race,0.5619047619047618,0.46249999999999997,0.0994047619047619,0.02857142857142857,0.17857142857142858,0.02569490034356764,48,1.0,tie
mmlu,llm:collude,0.3,aip_gated,race,0.5619047619047618,0.4988095238095238,0.0630952380952381,-0.03037202380952382,0.16785714285714284,0.4920948079189926,48,1.0,tie
mmlu,llm:collude,0.3,ds_onecoin,race,0.5619047619047618,0.4375,0.1244047619047619,-0.002395833333333333,0.2577380952380952,0.12504075752288257,48,1.0,tie
mmlu,llm:collude,0.5,self,race,0.5525000000000001,0.43416666666666676,0.11833333333333333,0.04416666666666666,0.1900208333333332,0.004336512442095516,48,0.3989591446727875,tie
mmlu,llm:collude,0.5,majority,race,0.5525000000000001,0.47500000000000003,0.0775,-0.035854166666666666,0.18666666666666665,0.18217760515669845,48,1.0,tie
mmlu,llm:collude,0.5,aip_gated,race,0.5525000000000001,0.4375,0.115,-0.009187500000000008,0.24333333333333332,0.08401230626002044,48,1.0,tie
mmlu,llm:collude,0.5,ds_onecoin,race,0.5525000000000001,0.4375,0.115,0.0008125000000000019,0.2475416666666665,0.08401230626002044,48,1.0,tie
mmlu,llm:collude,0.7,self,race,0.5097222222222223,0.4375,0.07222222222222223,0.01944444444444446,0.12361111111111113,0.05195579268168902,48,1.0,tie
mmlu,llm:collude,0.7,majority,race,0.5097222222222223,0.4375,0.07222222222222223,-0.04027777777777777,0.18055555555555558,0.41068797146143243,48,1.0,tie
mmlu,llm:collude,0.7,aip_gated,race,0.5097222222222223,0.4375,0.07222222222222223,-0.04722222222222222,0.1819791666666665,0.41068797146143243,48,1.0,tie
mmlu,llm:collude,0.7,ds_onecoin,race,0.5097222222222223,0.4375,0.07222222222222223,-0.041701388888888885,0.18888888888888888,0.41068797146143243,48,1.0,tie
mmlu,llm:rushing,0.1,self,race,0.5430555555555555,0.42175925925925933,0.12129629629629629,0.0324074074074074,0.20694444444444446,0.019117688445210806,48,1.0,tie
