benchmark,attack,f,baseline,target,target_acc,baseline_acc,delta,ci_low,ci_high,p,n_tasks,p_holm,verdict
boolq,llm:collude,0.3,majority,race,0.8357142857142856,0.775,0.060714285714285714,-0.003593750000000003,0.14375,0.40735864554840107,32,1.0,tie
boolq,llm:collude,0.3,aip_gated,race,0.8357142857142856,0.7955357142857142,0.04017857142857143,-0.007142857142857142,0.0955357142857143,0.8431582702135673,32,1.0,tie
boolq,llm:collude,0.3,ds_onecoin,race,0.8357142857142856,0.70625,0.1294642857142857,0.025892857142857134,0.2491294642857142,0.2266396288765864,32,1.0,tie
boolq,llm:collude,0.3,race_onecoin,race,0.8357142857142856,0.825,0.010714285714285704,-0.0008928571428571466,0.02591517857142844,0.29441929307030024,32,1.0,tie
boolq,llm:collude,0.5,self,race,0.8262499999999999,0.73375,0.0925,0.01874999999999999,0.16875,0.020793197715991255,32,1.0,tie
boolq,llm:collude,0.5,majority,race,0.8262499999999999,0.69375,0.1325,0.027500000000000028,0.2625,0.26984223742907587,32,1.0,tie
boolq,llm:collude,0.5,aip_gated,race,0.8262499999999999,0.6875,0.13875,0.02871875000000001,0.26253124999999977,0.16552823451675747,32,1.0,tie
boolq,llm:collude,0.5,ds_onecoin,race,0.8262499999999999,0.6875,0.13875,0.02875000000000004,0.265,0.16552823451675747,32,1.0,tie
boolq,llm:collude,0.5,race_onecoin,race,0.8262499999999999,0.79,0.03625000000000001,0.012500000000000002,0.06500000000000002,0.003628820255711687,32,0.3737684863383038,tie
boolq,llm:collude,0.7,self,race,0.7875,0.7333333333333333,0.05416666666666669,-0.01255208333333332,0.11458333333333336,0.04869823983414995,32,1.0,tie
boolq,llm:collude,0.7,majority,race,0.7875,0.6875,0.1,-0.014583333333333335,0.22708333333333333,0.35606528964036854,32,1.0,tie
boolq,llm:collude,0.7,aip_gated,race,0.7875,0.6875,0.1,-0.01666666666666667,0.22505208333333304,0.35606528964036854,32,1.0,tie
boolq,llm:collude,0.7,ds_onecoin,race,0.7875,0.6875,0.1,-0.01041666666666667,0.2229687499999997,0.35606528964036854,32,1.0,tie
boolq,llm:collude,0.7,race_onecoin,race,0.7875,0.7875,-6.938893903907228e-18,-0.01666666666666668,0.016666666666666656,0.7747362070566299,32,1.0,tie
boolq,llm:rushing,0.1,self,race,0.875,0.7479166666666666,0.12708333333333333,0.04651041666666668,0.20001736111111101,0.003301690815868873,32,0.34337584485036277,tie
boolq,llm:rushing,0.1,majority,race,0.875,0.8625,0.012499999999999992,-0.052777777777777785,0.07432291666666657,0.6964595181533908,32,1.0,tie
boolq,llm:rushing,0.1,aip_gated,race,0.875,0.8680555555555555,0.006944444444444432,-0.021527777777777778,0.03541666666666664,0.43722302650012923,32,1.0,tie
boolq,llm:rushing,0.1,ds_onecoin,race,0.875,0.8500000000000001,0.02499999999999998,-0.017361111111111115,0.06527777777777775,0.19521006938475471,32,1.0,tie
boolq,llm:rushing,0.1,race_onecoin,race,0.875,0.7881944444444444,0.08680555555555555,0.007638888888888886,0.16736111111111107,0.041296679862669765,32,1.0,tie
boolq,llm:rushing,0.3,self,race,0.8178571428571428,0.7455357142857143,0.07232142857142856,-0.003571428571428569,0.14734374999999988,0.03008117413296484,32,1.0,tie
boolq,llm:rushing,0.3,majority,race,0.8178571428571428,0.8625,-0.04464285714285715,-0.16171875000000002,0.06428571428571427,0.2587036308536622,32,1.0,tie
boolq,llm:rushing,0.3,aip_gated,race,0.8178571428571428,0.8616071428571429,-0.04375,-0.18928571428571428,0.09642857142857142,0.23898310812887325,32,1.0,tie
boolq,llm:rushing,0.3,ds_onecoin,race,0.8178571428571428,0.75625,0.061607142857142846,-0.0017857142857142915,0.1205580357142856,0.03035169494216163,32,1.0,tie
boolq,llm:rushing,0.3,race_onecoin,race,0.8178571428571428,0.5589285714285714,0.25892857142857145,0.1356919642857143,0.38839285714285715,0.002044398012055912,32,0.22488378132615033,tie
boolq,llm:rushing,0.5,self,race,0.7899999999999999,0.73375,0.05624999999999997,0.0024999999999999745,0.10999999999999996,0.10734950647069706,32,1.0,tie
boolq,llm:rushing,0.5,majority,race,0.7899999999999999,0.8,-0.010000000000000016,-0.12625000000000003,0.12249999999999998,0.09908711205439459,32,1.0,tie
boolq,llm:rushing,0.5,aip_gated,race,0.7899999999999999,0.6575,0.1325,-0.043750000000000004,0.30999999999999994,0.4819725049894985,32,1.0,tie
boolq,llm:rushing,0.5,ds_onecoin,race,0.7899999999999999,0.49375,0.29625,0.09,0.5025312499999998,0.013723904729739304,32,1.0,tie
boolq,llm:rushing,0.5,race_onecoin,race,0.7899999999999999,0.5075000000000001,0.2825,0.21375,0.345,6.841128084346547e-06,32,0.0009714401879772096,win
