benchmark,f,baseline,target,target_acc,baseline_acc,delta,ci_low,ci_high,p,n_tasks,p_holm,verdict,study,attack,param
boolq,0.4,ds_onecoin,race,0.9349999999999999,0.9925,-0.05750000000000001,-0.10500000000000001,-0.02,0.014322758361821323,80,1.0,tie,main,,
boolq,0.4,aip_gated,race,0.9349999999999999,0.735,0.2,0.12,0.29,2.2864868761006012e-05,80,0.003932757426893034,win,main,,
boolq,0.4,aip_soft,race,0.9349999999999999,0.9125,0.0225,0.007499999999999998,0.04375,0.004695411136664744,80,0.6338506435148816,tie,main,,
boolq,0.5,self,race,0.9349999999999999,0.8819999999999999,0.05299999999999999,0.025487499999999996,0.08249999999999999,0.0013148371767882177,80,0.19459590216465622,tie,main,,
boolq,0.5,majority,race,0.9349999999999999,0.3325,0.6025,0.4999375,0.7075,2.431416336051523e-12,80,5.081660142347683e-10,win,main,,
boolq,0.5,ds_onecoin,race,0.9349999999999999,0.0,0.9349999999999999,0.8800000000000001,0.9824999999999999,6.143693823042854e-18,80,1.726377964275042e-15,win,main,,
boolq,0.5,aip_gated,race,0.9349999999999999,0.0,0.9349999999999999,0.8800000000000001,0.9824999999999999,6.143693823042854e-18,80,1.726377964275042e-15,win,main,,
boolq,0.5,aip_soft,race,0.9349999999999999,0.9075,0.027500000000000004,0.005,0.05500000000000001,0.014328161791897878,80,1.0,tie,main,,
boolq,0.6,self,race,0.9375,0.8925000000000001,0.045,0.023750000000000004,0.068125,0.00023840778235350937,80,0.03647639070008693,win,main,,
boolq,0.6,majority,race,0.9375,0.0,0.9375,0.8850000000000001,0.9800000000000001,8.062967043283425e-18,80,2.241504838032792e-15,win,main,,
boolq,0.6,ds_onecoin,race,0.9375,0.0,0.9375,0.885,0.9800000000000001,8.062967043283425e-18,80,2.241504838032792e-15,win,main,,
boolq,0.6,aip_gated,race,0.9375,0.0,0.9375,0.8874375,0.9800624999999997,8.062967043283425e-18,80,2.241504838032792e-15,win,main,,
boolq,0.6,aip_soft,race,0.9375,0.9112500000000001,0.026249999999999996,0.01125,0.04375,0.0015769867778184737,80,0.22705373360141687,tie,main,,
boolq,0.7,self,race,0.9366666666666668,0.8883333333333333,0.04833333333333334,0.022500000000000006,0.07583333333333334,0.00011185065527757943,80,0.017849455192281764,win,main,,
boolq,0.7,majority,race,0.9366666666666668,0.0,0.9366666666666668,0.8816666666666666,0.9808333333333333,8.062967043283425e-18,80,2.241504838032792e-15,win,main,,
boolq,0.7,ds_onecoin,race,0.9366666666666668,0.0,0.9366666666666668,0.8825000000000001,0.9824999999999999,8.062967043283425e-18,80,2.241504838032792e-15,win,main,,
boolq,0.7,aip_gated,race,0.9366666666666668,0.0,0.9366666666666668,0.8800000000000001,0.9824999999999999,8.062967043283425e-18,80,2.241504838032792e-15,win,main,,
boolq,0.7,aip_soft,race,0.9366666666666668,0.9075,0.029166666666666664,0.008333333333333331,0.05499999999999999,0.008172104986261535,80,1.0,tie,main,,
boolq,0.8,self,race,0.9400000000000001,0.875,0.06499999999999999,0.04,0.0925,8.248823701721913e-06,80,0.0014682906189065006,win,main,,
boolq,0.8,majority,race,0.9400000000000001,0.0,0.9400000000000001,0.89,0.9775,2.0247658947769554e-17,80,5.406124939054471e-15,win,main,,
boolq,0.8,ds_onecoin,race,0.9400000000000001,0.0,0.9400000000000001,0.8975,0.9800000000000001,2.0247658947769554e-17,80,5.406124939054471e-15,win,main,,
boolq,0.8,aip_gated,race,0.9400000000000001,0.0,0.9400000000000001,0.8925000000000001,0.9775,2.0247658947769554e-17,80,5.406124939054471e-15,win,main,,
boolq,0.8,aip_soft,race,0.9400000000000001,0.875,0.06499999999999999,0.03875,0.0925,8.248823701721913e-06,80,0.0014682906189065006,win,main,,
boolq,0.9,self,race,1.0,0.875,0.125,0.0675,0.1925,0.00011018182217457879,80,0.017849455192281764,win,main,,
boolq,0.9,majority,race,1.0,0.0,1.0,1.0,1.0,3.744097384202872e-19,80,1.0745559492662243e-16,win,main,,
boolq,0.9,ds_onecoin,race,1.0,0.0,1.0,1.0,1.0,3.744097384202872e-19,80,1.0745559492662243e-16,win,main,,
boolq,0.9,aip_gated,race,1.0,0.0,1.0,1.0,1.0,3.744097384202872e-19,80,1.0745559492662243e-16,win,main,,
boolq,0.9,aip_soft,race,1.0,0.0,1.0,1.0,1.0,3.744097384202872e-19,80,1.0745559492662243e-16,win,main,,
gsm8k,0.0,self,race,0.98,0.9341000000000002,0.04589999999999998,0.033897499999999976,0.059302499999999966,1.602658508998069e-13,200,3.381609453985925e-11,win,main,,
gsm8k,0.0,majority,race,0.98,0.976,0.003999999999999999,0.0009999999999999998,0.007999999999999998,0.04550026389635839,200,1.0,tie,main,,
gsm8k,0.0,ds_onecoin,race,0.98,0.976,0.004,0.0,0.009,0.08326646333572782,200,1.0,tie,main,,
gsm8k,0.0,aip_gated,race,0.98,0.9747,0.0053,0.0002999999999999997,0.0126,0.0455036895506482,200,1.0,tie,main,,
gsm8k,0.0,aip_soft,race,0.98,0.9747,0.0053,0.0002999999999999997,0.012599999999999998,0.0455036895506482,200,1.0,tie,main,,
gsm8k,0.1,self,race,0.98,0.9333333333333332,0.046666666666666676,0.03455555555555557,0.06022222222222223,1.1646659722107147e-13,200,2.5040318402530366e-11,win,main,,
gsm8k,0.1,majority,race,0.98,0.973,0.006999999999999999,0.0009999999999999998,0.015,0.045503346982774265,200,1.0,tie,main,,
gsm8k,0.1,ds_onecoin,race,0.98,0.978,0.0019999999999999996,0.0,0.004999999999999999,0.15729920705028516,200,1.0,tie,main,,
gsm8k,0.1,aip_gated,race,0.98,0.9727777777777777,0.007222222222222224,0.0004444444444444445,0.01600277777777776,0.0455036895506482,200,1.0,tie,main,,
gsm8k,0.1,aip_soft,race,0.98,0.9766666666666667,0.0033333333333333335,0.0,0.008666666666666666,0.1573005107696258,200,1.0,tie,main,,
gsm8k,0.2,self,race,0.98,0.93475,0.045250000000000005,0.033875,0.05924999999999999,1.2938064089137992e-13,200,2.76874571507553e-11,win,main,,
gsm8k,0.2,majority,race,0.98,0.968,0.012,0.002,0.025,0.045503346982774265,200,1.0,tie,main,,
gsm8k,0.2,ds_onecoin,race,0.98,0.98,0.0,0.0,0.0,1.0,200,1.0,tie,main,,
gsm8k,0.2,aip_gated,race,0.98,0.98,0.0,0.0,0.0,1.0,200,1.0,tie,main,,
gsm8k,0.2,aip_soft,race,0.98,0.9788749999999999,0.001125,0.0,0.0030000000000000005,0.1573005107696258,200,1.0,tie,main,,
gsm8k,0.3,self,race,0.98,0.9308571428571429,0.049142857142857155,0.036857142857142866,0.06343214285714285,1.0396269457290176e-13,200,2.2663867416892584e-11,win,main,,
gsm8k,0.3,majority,race,0.98,0.934,0.046,0.028999999999999995,0.06699999999999999,4.3919732891497994e-08,200,8.564347913842109e-06,win,main,,
gsm8k,0.3,ds_onecoin,race,0.98,0.9769999999999999,0.003,0.0,0.008,0.1573005107696258,200,1.0,tie,main,,
gsm8k,0.3,aip_gated,race,0.98,0.981,-0.0010000000000000002,-0.012000000000000002,0.006999999999999999,0.5676316595237282,200,1.0,tie,main,,
gsm8k,0.3,aip_soft,race,0.98,0.978,0.002,-0.002,0.007999999999999998,0.5637061438484885,200,1.0,tie,main,,
gsm8k,0.4,self,race,0.98,0.9375,0.04249999999999999,0.030999999999999996,0.055004166666666646,1.578355091493882e-13,200,3.34611279396703e-11,win,main,,
gsm8k,0.4,majority,race,0.98,0.861,0.11899999999999998,0.08800000000000001,0.154,1.485812283856205e-13,200,3.164780164613717e-11,win,main,,
gsm8k,0.4,ds_onecoin,race,0.98,0.98,-5.551115123125783e-19,-0.006000000000000001,0.003999999999999999,0.5676308445158026,200,1.0,tie,main,,
gsm8k,0.4,aip_gated,race,0.98,0.98,-5.551115123125783e-19,-0.005000000000000001,0.003999999999999999,0.5676308445158026,200,1.0,tie,main,,
gsm8k,0.4,aip_soft,race,0.98,0.9796666666666667,0.00033333333333333327,-0.005666666666666668,0.005333333333333332,0.5676316595237282,200,1.0,tie,main,,
gsm8k,0.5,self,race,0.976,0.9338,0.042199999999999974,0.031199999999999985,0.05300499999999995,1.6121948776971576e-13,200,3.385609243164031e-11,win,main,,
gsm8k,0.5,majority,race,0.976,0.831,0.145,0.11199999999999999,0.18,3.1950435603260093e-14,200,7.029095832717221e-12,win,main,,
gsm8k,0.5,ds_onecoin,race,0.976,0.0,0.976,0.954975,0.993,9.130433680304544e-44,200,2.7208692367307543e-41,win,main,,
gsm8k,0.5,aip_gated,race,0.976,0.9790000000000001,-0.002999999999999999,-0.009,0.0020000000000000005,0.31853794773943955,200,1.0,tie,main,,
