benchmark,f,attack,param,baseline,target,target_acc,baseline_acc,delta,ci_low,ci_high,p,n_tasks,p_holm,verdict
boolq,0.5,gate_aware,0.0,race,race_d,0.9358333333333334,0.9333333333333332,0.0025000000000000014,0.0,0.00666666666666667,0.15730741684009697,80,1.0,tie
boolq,0.5,gate_aware,0.25,race,race_d,0.9358333333333334,0.9333333333333332,0.0025000000000000014,0.0,0.00666666666666667,0.15730741684009697,80,1.0,tie
boolq,0.5,gate_aware,0.5,race,race_d,0.9358333333333334,0.9333333333333332,0.0025000000000000014,0.0,0.00666666666666667,0.15730741684009697,80,1.0,tie
boolq,0.5,gate_aware,0.75,race,race_d,0.9358333333333334,0.9333333333333332,0.0025000000000000014,0.0,0.00666666666666667,0.15730741684009697,80,1.0,tie
boolq,0.5,gate_aware,1.0,race,race_d,0.9358333333333334,0.9333333333333332,0.0025000000000000014,0.0,0.006666666666666668,0.15730741684009697,80,1.0,tie
boolq,0.5,independent,1.0,race,race_d,0.9358333333333334,0.9333333333333332,0.0025000000000000014,0.0,0.00666666666666667,0.15730741684009697,80,1.0,tie
boolq,0.5,llm:always_wrong,1.0,race,race_d,0.9058333333333334,0.9125,-0.006666666666666666,-0.017499999999999998,0.0,0.15730741684009697,80,1.0,tie
boolq,0.5,llm:rushing,1.0,race,race_d,0.9149999999999998,0.9166666666666666,-0.0016666666666666666,-0.005,0.0,0.31731050786291415,80,1.0,tie
boolq,0.5,llm:semantic_hallucination,1.0,race,race_d,0.9125,0.9166666666666667,-0.004166666666666667,-0.0125,0.0,0.31731050786291415,80,1.0,tie
boolq,0.5,llm:semantic_negation,1.0,race,race_d,0.9158333333333333,0.9141666666666666,0.001666666666666667,-0.004999999999999999,0.01,0.9929035095959442,80,1.0,tie
boolq,0.5,partial,0.5,race,race_d,0.9166666666666667,0.9166666666666667,0.0,0.0,0.0,1.0,80,1.0,tie
boolq,0.5,partial,0.8,race,race_d,0.9416666666666667,0.9416666666666667,0.0,0.0,0.0,1.0,80,1.0,tie
boolq,0.5,sleeper,1.0,race,race_d,0.5383333333333333,0.35416666666666663,0.18416666666666676,0.10083333333333341,0.2608333333333334,2.4504263647223533e-07,80,6.983715139458707e-05,win
boolq,0.5,uninformative,1.0,race,race_d,0.9208333333333334,0.9208333333333334,0.0,0.0,0.0,1.0,80,1.0,tie
boolq,0.7,attractor,1.0,race,race_d,0.9458333333333332,0.9291666666666668,0.01666666666666667,0.001388888888888888,0.04027777777777777,0.04551997832170068,80,1.0,tie
boolq,0.7,camouflage,0.7,race,race_d,0.7375,0.8819444444444443,-0.14444444444444454,-0.19305555555555565,-0.0930208333333336,2.063168867224249e-07,80,5.9212946489335944e-05,loss
boolq,0.7,camouflage,0.9,race,race_d,0.7375,0.8819444444444443,-0.14444444444444454,-0.19166666666666676,-0.09444444444444453,2.063168867224249e-07,80,5.9212946489335944e-05,loss
boolq,0.7,echo,1.0,race,race_d,0.638888888888889,0.9041666666666668,-0.26527777777777783,-0.3000000000000001,-0.2250000000000001,5.171886990182659e-16,80,1.6498319498682684e-13,loss
boolq,0.7,gate_aware,0.0,race,race_d,0.9458333333333332,0.9291666666666668,0.01666666666666667,0.001388888888888888,0.04027777777777777,0.04551997832170068,80,1.0,tie
boolq,0.7,gate_aware,0.25,race,race_d,0.9458333333333332,0.9291666666666668,0.01666666666666667,0.0013888888888888896,0.03888888888888889,0.04551997832170068,80,1.0,tie
boolq,0.7,gate_aware,0.5,race,race_d,0.9458333333333332,0.9291666666666668,0.01666666666666667,0.001388888888888888,0.03888888888888888,0.04551997832170068,80,1.0,tie
boolq,0.7,gate_aware,0.75,race,race_d,0.9458333333333332,0.9291666666666668,0.01666666666666667,0.001388888888888888,0.03753472222222203,0.04551997832170068,80,1.0,tie
boolq,0.7,gate_aware,1.0,race,race_d,0.9458333333333332,0.9291666666666668,0.01666666666666667,0.001388888888888888,0.03888888888888888,0.04551997832170068,80,1.0,tie
