benchmark,f,attack,param,baseline,target,target_acc,baseline_acc,delta,ci_low,ci_high,p,n_tasks,p_holm,verdict
boolq,0.3,llm:always_wrong,1.0,oracle_channel_honest,race,0.9214285714285714,0.9208333333333334,0.0005952380952380963,-0.0065476190476190434,0.008928571428571428,0.9929035095959442,80,1.0,tie
boolq,0.3,llm:rushing,1.0,oracle_channel_honest,race,0.9166666666666666,0.9208333333333334,-0.004166666666666667,-0.016666666666666666,0.008333333333333333,0.5637028616507731,80,1.0,tie
boolq,0.3,llm:semantic_hallucination,1.0,oracle_channel_honest,race,0.9244047619047621,0.9208333333333334,0.0035714285714285713,0.0,0.010714285714285714,0.31731050786291415,80,1.0,tie
boolq,0.3,llm:semantic_negation,1.0,oracle_channel_honest,race,0.9220238095238095,0.9208333333333334,0.0011904761904761904,0.0,0.0035714285714285713,0.31731050786291415,80,1.0,tie
boolq,0.3,partial,0.5,oracle_channel_honest,race,0.925,0.9208333333333334,0.004166666666666667,0.0,0.0125,0.31731050786291415,80,1.0,tie
boolq,0.3,partial,0.8,oracle_channel_honest,race,0.9339285714285716,0.9208333333333334,0.013095238095238096,0.0005952380952380952,0.029166666666666667,0.04551997832170068,80,1.0,tie
boolq,0.3,sleeper,1.0,oracle_channel_honest,race,0.9,0.9208333333333334,-0.020833333333333336,-0.03760416666666667,-0.0041666666666666675,0.025365374382028103,80,1.0,tie
boolq,0.3,uninformative,1.0,oracle_channel_honest,race,0.925,0.9208333333333334,0.004166666666666667,0.0,0.0125,0.31731050786291415,80,1.0,tie
boolq,0.5,attractor,1.0,oracle_channel_honest,race,0.9333333333333332,0.9166666666666667,0.016666666666666666,0.0,0.04166666666666667,0.08328098628159922,80,1.0,tie
boolq,0.5,camouflage,0.7,oracle_channel_honest,race,0.905,0.9166666666666667,-0.011666666666666669,-0.029166666666666667,0.0,0.08328098628159922,80,1.0,tie
boolq,0.5,camouflage,0.9,oracle_channel_honest,race,0.9141666666666666,0.9166666666666667,-0.0025,-0.0075000000000000015,0.0,0.31731050786291415,80,1.0,tie
boolq,0.5,echo,1.0,oracle_channel_honest,race,0.9208333333333334,0.9166666666666667,0.004166666666666664,-0.012500000000000002,0.020833333333333332,0.6797812367976543,80,1.0,tie
boolq,0.5,gate_aware,0.0,oracle_channel_honest,race,0.9333333333333332,0.9166666666666667,0.016666666666666666,0.0,0.0375,0.08328098628159922,80,1.0,tie
boolq,0.5,gate_aware,0.25,oracle_channel_honest,race,0.9333333333333332,0.9166666666666667,0.016666666666666666,0.0,0.0375,0.08328098628159922,80,1.0,tie
boolq,0.5,gate_aware,0.5,oracle_channel_honest,race,0.9333333333333332,0.9166666666666667,0.016666666666666666,0.0,0.0375,0.08328098628159922,80,1.0,tie
