benchmark,f,Receiver alone,Majority vote,Confidence-weighted,SAC filter-refine,Dawid–Skene full,Dawid–Skene (label-free),AIP trust-only,AIP naive,AIP gated,AIP soft gate (M1),RACE w/o clone tempering,RACE raw-agreement clones,RACE multi-start,RACE full-confusion,RACE (ours),RACE + self cap,Honest-only oracle,Known-channel oracle
math500,0.0,71.475,84.575,84.975,87.12500000000001,,83.6,83.35000000000001,48.925000000000004,82.875,82.75,79.325,88.225,88.175,,88.175,85.1,83.05,89.25
math500,0.1,70.08333333333333,79.52777777777777,80.36111111111111,84.33333333333334,,82.69444444444444,77.44444444444444,36.638888888888886,80.0,81.47222222222223,78.11111111111111,85.16666666666669,85.19444444444444,,85.19444444444444,82.25,80.91666666666667,87.72222222222223
math500,0.2,71.50000000000001,74.53125,77.1875,83.40625,,83.40625,67.34375,39.03125,80.12499999999999,80.12499999999999,78.46875,82.78125,82.78125,,82.78125,81.09375,80.81250000000001,87.625
math500,0.3,72.46428571428571,67.57142857142857,71.10714285714286,82.25,,84.71428571428572,54.50000000000001,49.035714285714285,78.10714285714285,78.10714285714285,80.74999999999999,80.17857142857142,80.17857142857142,,80.17857142857142,78.35714285714286,79.89285714285714,88.07142857142857
math500,0.4,71.04166666666667,56.08333333333333,60.16666666666667,70.45833333333333,,57.87500000000001,35.875,57.70833333333333,74.04166666666667,74.04166666666667,78.83333333333333,74.70833333333333,74.83333333333333,,74.83333333333333,73.70833333333333,76.66666666666667,87.5
math500,0.5,69.85,42.449999999999996,46.900000000000006,45.45,,14.799999999999999,20.400000000000002,67.15,70.8,70.8,81.0,76.15,76.15,,76.15,74.4,73.7,84.55
math500,0.6,69.3125,27.8125,33.1875,13.5,,1.3125000000000002,9.8125,75.1875,68.0625,68.0625,80.5625,82.125,82.125,,82.125,80.12499999999999,70.5,84.0625
math500,0.7,68.0,13.750000000000002,18.083333333333336,0.75,,0.6666666666666666,2.9166666666666665,74.66666666666667,63.083333333333336,63.083333333333336,77.08333333333333,71.50000000000001,65.83333333333333,,71.50000000000001,70.91666666666667,69.75,77.66666666666666
math500,0.8,67.12499999999999,4.5,6.5,0.37500000000000006,,0.25,0.37500000000000006,74.375,56.125,56.125,67.625,68.875,64.625,,68.875,68.875,67.12499999999999,74.375
math500,0.9,72.25,1.0,0.5,0.7500000000000001,,0.5,0.5,72.25,0.5,0.5,63.5,72.25,72.25,,72.25,72.25,72.25,72.25
medqa,0.0,74.375,83.425,84.74999999999999,85.925,83.65,85.375,84.39999999999999,5.925000000000001,84.39999999999999,84.25,85.4,86.15,86.44999999999999,84.625,86.44999999999999,85.35000000000001,83.375,88.425
medqa,0.1,75.44444444444444,81.05555555555556,83.33333333333334,85.19444444444444,84.11111111111111,85.44444444444444,79.94444444444444,6.944444444444445,79.94444444444444,81.91666666666666,85.36111111111111,86.66666666666666,86.91666666666666,84.30555555555556,86.91666666666666,86.0,83.5,88.5
medqa,0.2,75.53125,76.5625,79.78125,84.0625,83.15625000000001,84.6875,70.71875000000001,10.3125,84.0625,84.78125000000001,84.59375,86.21874999999999,86.43750000000001,84.53125,86.43750000000001,85.53124999999999,82.37500000000001,87.90625000000001
medqa,0.3,75.60714285714285,69.92857142857143,74.07142857142857,82.5,82.03571428571429,84.17857142857143,55.392857142857146,13.035714285714286,85.17857142857143,84.89285714285714,84.17857142857143,85.75,85.92857142857143,82.96428571428571,85.92857142857143,84.71428571428572,81.4642857142857,87.53571428571428
medqa,0.4,75.33333333333333,57.25,63.16666666666666,76.20833333333333,73.375,84.45833333333333,36.5,15.999999999999998,84.29166666666667,83.91666666666667,84.5,84.5,84.74999999999999,82.37500000000001,84.74999999999999,83.04166666666667,80.25,86.16666666666667
medqa,0.5,76.35,42.400000000000006,49.45,42.00000000000001,17.099999999999998,21.000000000000004,22.45,19.950000000000003,85.05,84.60000000000001,86.25,85.0,85.35000000000001,82.5,85.35000000000001,83.14999999999999,79.9,86.95
medqa,0.6,77.375,24.5625,31.625000000000004,12.375,0.8125,0.0625,10.3125,24.4375,83.93750000000001,83.24999999999999,86.25,84.5625,84.74999999999999,81.125,84.74999999999999,82.37500000000001,79.6875,86.625
medqa,0.7,79.41666666666667,10.916666666666666,14.833333333333334,0.8333333333333334,0.08333333333333333,0.08333333333333333,4.25,32.75,83.58333333333331,83.58333333333331,86.83333333333334,84.41666666666666,84.41666666666666,82.41666666666667,84.41666666666666,83.08333333333333,80.74999999999999,86.75
medqa,0.8,78.125,4.625,3.875,0.8750000000000001,0.0,0.0,1.25,61.12499999999999,82.125,82.25,83.625,80.74999999999999,80.74999999999999,79.0,80.74999999999999,80.12499999999999,78.125,83.375
medqa,0.9,83.24999999999999,1.5000000000000002,0.5,0.7500000000000001,0.0,0.0,0.5,85.0,0.5,0.5,85.0,83.24999999999999,83.24999999999999,83.24999999999999,83.24999999999999,83.24999999999999,83.24999999999999,84.74999999999999
mmlu,0.0,82.325,87.89999999999999,89.375,89.9,88.875,89.42500000000001,89.1,4.2,89.1,89.125,89.42500000000001,89.625,89.675,89.25,89.675,89.05,88.2,89.775
mmlu,0.1,81.94444444444444,85.91666666666666,88.13888888888887,89.30555555555554,88.05555555555556,88.91666666666667,86.02777777777779,5.916666666666666,86.02777777777779,87.58333333333333,88.86111111111111,89.61111111111111,89.75,88.66666666666667,89.75,88.94444444444444,87.33333333333333,89.94444444444444
mmlu,0.2,82.8125,83.90625,86.46875,89.34374999999999,88.46875,89.59375,80.28125,9.0625,89.15625,89.9375,89.625,89.6875,89.78125,88.75,89.78125,89.125,87.5,90.375
mmlu,0.3,83.17857142857143,77.53571428571429,81.4642857142857,88.75,88.60714285714286,90.10714285714286,68.0,11.25,89.92857142857143,90.0,90.14285714285715,90.03571428571429,90.14285714285715,89.0,90.14285714285715,89.28571428571429,87.64285714285714,90.57142857142857
mmlu,0.4,83.91666666666667,65.875,73.29166666666667,84.87500000000001,89.04166666666666,90.66666666666666,50.79166666666667,13.750000000000002,90.33333333333333,90.29166666666667,90.66666666666666,90.16666666666667,90.33333333333333,89.125,90.33333333333333,89.375,88.00000000000001,90.25000000000001
mmlu,0.5,82.95,47.5,57.800000000000004,52.849999999999994,40.55,47.400000000000006,31.1,17.55,89.7,89.60000000000001,90.25000000000001,89.0,89.39999999999999,88.2,89.39999999999999,88.4,86.8,89.8
mmlu,0.6,85.0,29.312499999999996,42.3125,12.3125,0.43750000000000006,0.0,18.9375,28.0625,89.3125,89.3125,89.9375,88.75,89.0,88.1875,89.0,88.375,87.375,89.49999999999999
mmlu,0.7,84.08333333333333,11.833333333333334,23.666666666666668,0.6666666666666666,0.0,0.0,6.416666666666666,41.41666666666667,88.25,87.99999999999999,89.08333333333334,88.08333333333334,88.08333333333334,85.75,88.08333333333334,86.58333333333333,85.25,88.58333333333333
mmlu,0.8,85.25,5.250000000000001,10.875000000000002,0.7500000000000001,0.0,0.0,2.125,80.5,78.75,78.75,89.0,86.875,86.625,86.75,86.625,86.75,85.25,88.25
