source,benchmark,attack,f,aip_gated,aip_naive,aip_soft,aip_trust_only,confidence,ds_full,ds_onecoin,majority,oracle_channel,oracle_honest_majority,race,race_capself,race_full,race_ms,race_noclone,race_rawclone,sac,self
live,boolq,llm:solo,0.1,68.7962962962963,68.7962962962963,69.12037037037037,68.7962962962963,72.17592592592594,77.08333333333334,75.83333333333333,67.91666666666667,73.33333333333334,66.66666666666666,70.32407407407408,67.77777777777777,72.5,70.32407407407408,72.36111111111111,70.32407407407408,68.5185185185185,61.75925925925926
live,boolq,llm:solo,0.3,72.44047619047619,72.44047619047619,70.6547619047619,72.44047619047619,77.14285714285714,74.58333333333333,68.75,70.41666666666666,75.41666666666667,63.33333333333333,60.77380952380952,56.30952380952381,70.83333333333334,60.77380952380952,63.15476190476191,60.77380952380952,70.6547619047619,62.023809523809526
live,boolq,llm:solo,0.5,71.5,71.5,66.75,71.5,75.91666666666667,65.41666666666667,65.83333333333333,72.5,77.08333333333334,62.083333333333336,55.91666666666667,50.16666666666666,70.41666666666666,56.25,58.08333333333333,56.166666666666664,72.66666666666667,60.083333333333336
live,boolq,llm:solo,0.7,64.44444444444444,64.44444444444444,62.916666666666664,64.44444444444444,70.27777777777779,65.83333333333333,55.41666666666667,72.91666666666666,74.58333333333333,64.16666666666667,56.249999999999986,52.083333333333336,67.5,50.138888888888886,56.111111111111114,57.63888888888889,69.86111111111111,61.944444444444436
live,mmlu,coherent,0.1,42.91666666666667,22.12962962962963,43.42592592592593,42.91666666666667,41.06481481481482,46.666666666666664,49.16666666666667,46.25,60.416666666666664,51.66666666666667,55.27777777777778,54.907407407407405,43.333333333333336,55.27777777777778,45.370370370370374,55.27777777777778,41.71296296296296,42.175925925925924
live,mmlu,coherent,0.3,36.904761904761905,24.166666666666668,36.54761904761905,22.5,26.666666666666668,32.916666666666664,40.416666666666664,35.41666666666667,60.0,48.80952380952381,55.952380952380956,55.714285714285715,44.166666666666664,55.952380952380956,44.345238095238095,55.952380952380956,22.738095238095237,42.55952380952381
live,mmlu,coherent,0.5,33.583333333333336,27.666666666666668,33.75,0.0,9.166666666666668,0.0,0.0,8.333333333333332,60.416666666666664,48.583333333333336,56.41666666666666,54.666666666666664,45.66666666666667,56.41666666666666,47.833333333333336,56.41666666666666,2.333333333333333,43.416666666666664
live,mmlu,coherent,0.7,42.91666666666667,44.72222222222222,42.91666666666667,0.0,0.0,0.0,0.0,0.0,56.666666666666664,45.13888888888889,50.69444444444444,50.69444444444444,46.11111111111111,50.69444444444444,52.083333333333336,50.69444444444444,0.0,43.75
live,mmlu,llm:collude,0.1,50.416666666666664,21.99074074074074,50.416666666666664,50.416666666666664,43.42592592592593,49.583333333333336,48.75000000000001,51.25000000000001,54.58333333333333,51.66666666666667,53.19444444444444,49.76851851851852,47.083333333333336,53.19444444444444,45.324074074074076,53.19444444444444,44.02777777777778,42.175925925925924
live,mmlu,llm:collude,0.3,49.88095238095238,18.452380952380953,49.88095238095238,49.88095238095238,48.92857142857142,45.416666666666664,43.75,46.25,54.99999999999999,48.80952380952381,56.19047619047619,52.916666666666664,49.107142857142854,56.19047619047619,43.273809523809526,56.19047619047619,48.63095238095238,42.55952380952381
live,mmlu,llm:collude,0.5,43.75,20.083333333333332,43.75,43.75,47.25,43.75,43.75,47.5,57.08333333333333,48.583333333333336,55.25,53.91666666666667,47.583333333333336,55.25,42.916666666666664,55.25,46.416666666666664,43.416666666666664
live,mmlu,llm:collude,0.7,43.75,24.444444444444443,43.75,43.75,43.75,43.75,43.75,43.75,51.66666666666667,45.13888888888889,50.97222222222222,49.861111111111114,46.52777777777777,50.97222222222222,43.75,50.97222222222222,43.75,43.75
live,mmlu,llm:rushing,0.1,48.47222222222222,20.694444444444446,48.47222222222222,48.47222222222222,44.44444444444444,45.83333333333333,46.66666666666667,49.583333333333336,52.916666666666664,51.66666666666667,54.30555555555555,51.2962962962963,41.48148148148148,54.30555555555555,44.81481481481482,54.30555555555555,42.91666666666667,42.175925925925924
live,mmlu,llm:rushing,0.3,43.273809523809526,24.047619047619047,43.63095238095238,43.273809523809526,41.36904761904762,43.333333333333336,40.416666666666664,46.25,48.75,48.80952380952381,54.4047619047619,50.357142857142854,45.29761904761905,54.4047619047619,40.17857142857142,54.4047619047619,44.64285714285714,42.55952380952381
live,mmlu,llm:rushing,0.5,37.083333333333336,28.750000000000004,38.41666666666667,38.083333333333336,36.5,42.91666666666667,43.75,41.25,50.83333333333333,48.583333333333336,50.416666666666664,49.333333333333336,41.583333333333336,50.416666666666664,43.75,50.416666666666664,40.166666666666664,43.416666666666664
live,mmlu,llm:rushing,0.7,32.77777777777778,29.02777777777778,34.72222222222223,25.833333333333336,33.19444444444444,36.25000000000001,24.16666666666667,36.25,48.333333333333336,45.13888888888889,47.91666666666667,47.083333333333336,42.22222222222222,47.91666666666667,44.861111111111114,47.91666666666667,27.499999999999996,43.75
live,mmlu,llm:solo,0.1,48.88888888888889,26.666666666666668,48.842592592592595,48.7962962962963,42.91666666666667,45.83333333333333,46.66666666666667,49.16666666666667,54.58333333333333,51.66666666666667,54.35185185185185,53.75,42.5,54.35185185185185,44.81481481481482,54.35185185185185,43.379629629629626,42.175925925925924
live,mmlu,llm:solo,0.3,46.78571428571428,18.571428571428573,46.666666666666664,46.78571428571428,46.13095238095238,45.0,40.416666666666664,50.416666666666664,58.75,48.80952380952381,58.86904761904762,56.48809523809524,48.92857142857142,58.86904761904762,40.17857142857142,58.86904761904762,45.357142857142854,42.55952380952381
live,mmlu,llm:solo,0.5,44.66666666666667,19.083333333333332,45.0,44.5,48.91666666666667,45.416666666666664,47.083333333333336,49.16666666666667,53.75,48.583333333333336,56.833333333333336,55.75,48.083333333333336,56.833333333333336,46.58333333333333,56.833333333333336,50.916666666666664,43.416666666666664
live,mmlu,llm:solo,0.7,45.83333333333333,19.86111111111111,44.99999999999999,40.0,39.166666666666664,27.916666666666668,22.916666666666664,41.66666666666667,51.66666666666667,45.13888888888889,52.361111111111114,50.55555555555556,44.99999999999999,52.361111111111114,44.166666666666664,52.361111111111114,33.33333333333333,43.75
live_debate,boolq,llm:collude,0.5,54.166666666666664,54.166666666666664,65.83333333333333,54.166666666666664,59.66666666666667,69.16666666666667,54.166666666666664,70.41666666666666,75.83333333333333,65.83333333333333,60.333333333333336,58.5,72.58333333333334,62.33333333333333,58.416666666666664,60.333333333333336,56.166666666666664,61.83333333333333
live_debate,boolq,llm:solo,0.5,70.75,70.75,68.58333333333334,70.75,74.25,74.58333333333333,62.916666666666664,75.83333333333333,80.0,65.83333333333333,58.333333333333336,57.666666666666664,73.75,52.83333333333333,59.583333333333336,58.91666666666667,74.00000000000001,61.83333333333333
